num,c,d,p
6,100,"(0, 5)",randInt(4) = 0
21,100,"(0, 5)",randInt(4) = 0
59,100,"(0, 5)",randInt(4) = 0
7,100,"(0, 5)",randInt(4) = 0
45,100,"(0, 5)",randInt(4) = 0
4,100,"(0, 5)",randInt(4) = 0
10,100,"(0, 5)",randInt(4) = 0
13,100,"(0, 5)",randInt(4) = 0
6,100,"(0, 5)",randInt(4) = 0
12,100,"(0, 5)",randInt(4) = 0
69,100,"(0, 5)",randInt(4) = 0
26,100,"(0, 5)",randInt(4) = 0
69,100,"(0, 5)",randInt(4) = 0
28,100,"(0, 5)",randInt(4) = 0
39,100,"(0, 5)",randInt(4) = 0
41,100,"(0, 5)",randInt(1) = 0
10,100,"(0, 5)",randInt(1) = 0
6,100,"(0, 5)",randInt(1) = 0
4,100,"(0, 5)",randInt(1) = 0
10,100,"(0, 5)",randInt(1) = 0
13,100,"(0, 5)",randInt(1) = 0
6,100,"(0, 5)",randInt(1) = 0
12,100,"(0, 5)",randInt(1) = 0
40,100,"(0, 5)",randInt(1) = 0
69,100,"(0, 5)",randInt(1) = 0
26,100,"(0, 5)",randInt(1) = 0
39,100,"(0, 5)",randInt(1) = 0
43,100,"(0, 5)",randInt(1) = 0
39,100,"(0, 5)",randInt(1) = 0
59,100,"(0, 5)",randInt(1) = 0
61,100,"(0, 5)",randInt(4) != 0
8,100,"(0, 5)",randInt(4) != 0
65,100,"(0, 5)",randInt(4) != 0
6,100,"(0, 5)",randInt(4) != 0
9,100,"(0, 5)",randInt(4) != 0
11,100,"(0, 5)",randInt(4) != 0
14,100,"(0, 5)",randInt(4) != 0
13,100,"(0, 5)",randInt(4) != 0
196,100,"(0, 5)",randInt(4) != 0
65,100,"(0, 5)",randInt(4) != 0
1290,100,"(0, 5)",randInt(4) != 0
58,100,"(0, 5)",randInt(4) != 0
315,100,"(0, 5)",randInt(4) != 0
1376,100,"(0, 5)",randInt(4) != 0
104,100,"(0, 5)",randInt(4) != 0
7,100,"(0, 10)",randInt(4) = 0
13,100,"(0, 10)",randInt(4) = 0
7,100,"(0, 10)",randInt(4) = 0
7,100,"(0, 10)",randInt(4) = 0
9,100,"(0, 10)",randInt(4) = 0
11,100,"(0, 10)",randInt(4) = 0
11,100,"(0, 10)",randInt(4) = 0
10,100,"(0, 10)",randInt(4) = 0
7,100,"(0, 10)",randInt(4) = 0
444,100,"(0, 10)",randInt(4) = 0
93,100,"(0, 10)",randInt(4) = 0
10,100,"(0, 10)",randInt(4) = 0
798,100,"(0, 10)",randInt(4) = 0
79,100,"(0, 10)",randInt(4) = 0
1347,100,"(0, 10)",randInt(4) = 0
42,100,"(0, 10)",randInt(1) = 0
28,100,"(0, 10)",randInt(1) = 0
32,100,"(0, 10)",randInt(1) = 0
39,100,"(0, 10)",randInt(1) = 0
35,100,"(0, 10)",randInt(1) = 0
39,100,"(0, 10)",randInt(1) = 0
40,100,"(0, 10)",randInt(1) = 0
44,100,"(0, 10)",randInt(1) = 0
32,100,"(0, 10)",randInt(1) = 0
58,100,"(0, 10)",randInt(1) = 0
9,100,"(0, 10)",randInt(1) = 0
57,100,"(0, 10)",randInt(1) = 0
40,100,"(0, 10)",randInt(1) = 0
36,100,"(0, 10)",randInt(1) = 0
31,100,"(0, 10)",randInt(1) = 0
93,100,"(0, 10)",randInt(4) != 0
91,100,"(0, 10)",randInt(4) != 0
62,100,"(0, 10)",randInt(4) != 0
56,100,"(0, 10)",randInt(4) != 0
59,100,"(0, 10)",randInt(4) != 0
35,100,"(0, 10)",randInt(4) != 0
61,100,"(0, 10)",randInt(4) != 0
58,100,"(0, 10)",randInt(4) != 0
65,100,"(0, 10)",randInt(4) != 0
104,100,"(0, 10)",randInt(4) != 0
73,100,"(0, 10)",randInt(4) != 0
106,100,"(0, 10)",randInt(4) != 0
66,100,"(0, 10)",randInt(4) != 0
49,100,"(0, 10)",randInt(4) != 0
85,100,"(0, 10)",randInt(4) != 0
7,100,"(5, 10)",randInt(4) = 0
45,100,"(5, 10)",randInt(4) = 0
4,100,"(5, 10)",randInt(4) = 0
10,100,"(5, 10)",randInt(4) = 0
13,100,"(5, 10)",randInt(4) = 0
6,100,"(5, 10)",randInt(4) = 0
12,100,"(5, 10)",randInt(4) = 0
69,100,"(5, 10)",randInt(4) = 0
26,100,"(5, 10)",randInt(4) = 0
69,100,"(5, 10)",randInt(4) = 0
28,100,"(5, 10)",randInt(4) = 0
39,100,"(5, 10)",randInt(4) = 0
59,100,"(5, 10)",randInt(4) = 0
13,100,"(5, 10)",randInt(4) = 0
37,100,"(5, 10)",randInt(4) = 0
6,100,"(5, 10)",randInt(1) = 0
12,100,"(5, 10)",randInt(1) = 0
69,100,"(5, 10)",randInt(1) = 0
26,100,"(5, 10)",randInt(1) = 0
69,100,"(5, 10)",randInt(1) = 0
28,100,"(5, 10)",randInt(1) = 0
39,100,"(5, 10)",randInt(1) = 0
59,100,"(5, 10)",randInt(1) = 0
13,100,"(5, 10)",randInt(1) = 0
37,100,"(5, 10)",randInt(1) = 0
46,100,"(5, 10)",randInt(1) = 0
55,100,"(5, 10)",randInt(1) = 0
69,100,"(5, 10)",randInt(1) = 0
42,100,"(5, 10)",randInt(1) = 0
59,100,"(5, 10)",randInt(1) = 0
55,100,"(5, 10)",randInt(4) != 0
