buchoneado,buchonea,c,d,p
0,0,100,"(0, 5)",randInt(4) = 0
0,0,100,"(0, 5)",randInt(4) = 0
0,1,100,"(0, 5)",randInt(4) = 0
2,0,100,"(0, 5)",randInt(4) = 0
0,0,100,"(0, 5)",randInt(4) = 0
0,0,100,"(0, 5)",randInt(4) = 0
0,0,100,"(0, 5)",randInt(4) = 0
0,0,100,"(0, 5)",randInt(4) = 0
1,0,100,"(0, 5)",randInt(4) = 0
0,0,100,"(0, 5)",randInt(4) = 0
0,0,100,"(0, 5)",randInt(4) = 0
0,0,100,"(0, 5)",randInt(4) = 0
1,0,100,"(0, 5)",randInt(4) = 0
0,0,100,"(0, 5)",randInt(4) = 0
1,1,100,"(0, 5)",randInt(4) = 0
0,0,100,"(0, 5)",randInt(4) = 0
0,0,100,"(0, 5)",randInt(4) = 0
0,0,100,"(0, 5)",randInt(4) = 0
0,0,100,"(0, 5)",randInt(4) = 0
0,0,100,"(0, 5)",randInt(4) = 0
0,0,100,"(0, 5)",randInt(4) = 0
1,1,100,"(0, 5)",randInt(4) = 0
0,1,100,"(0, 5)",randInt(4) = 0
0,0,100,"(0, 5)",randInt(4) = 0
0,0,100,"(0, 5)",randInt(4) = 0
0,0,100,"(0, 5)",randInt(4) = 0
0,2,100,"(0, 5)",randInt(4) = 0
0,0,100,"(0, 5)",randInt(4) = 0
0,0,100,"(0, 5)",randInt(4) = 0
0,0,100,"(0, 5)",randInt(4) = 0
0,0,100,"(0, 5)",randInt(4) = 0
0,1,100,"(0, 5)",randInt(4) = 0
0,0,100,"(0, 5)",randInt(4) = 0
0,0,100,"(0, 5)",randInt(4) = 0
3,3,100,"(0, 5)",randInt(4) = 0
3,2,100,"(0, 5)",randInt(4) = 0
0,0,100,"(0, 5)",randInt(4) = 0
2,1,100,"(0, 5)",randInt(4) = 0
0,0,100,"(0, 5)",randInt(4) = 0
0,0,100,"(0, 5)",randInt(4) = 0
0,0,100,"(0, 5)",randInt(4) = 0
0,0,100,"(0, 5)",randInt(4) = 0
1,2,100,"(0, 5)",randInt(4) = 0
5,1,100,"(0, 5)",randInt(4) = 0
0,0,100,"(0, 5)",randInt(4) = 0
3,2,100,"(0, 5)",randInt(4) = 0
0,0,100,"(0, 5)",randInt(4) = 0
0,0,100,"(0, 5)",randInt(4) = 0
1,0,100,"(0, 5)",randInt(4) = 0
0,0,100,"(0, 5)",randInt(4) = 0
0,1,100,"(0, 5)",randInt(4) = 0
0,0,100,"(0, 5)",randInt(4) = 0
0,0,100,"(0, 5)",randInt(4) = 0
0,0,100,"(0, 5)",randInt(4) = 0
0,1,100,"(0, 5)",randInt(4) = 0
0,0,100,"(0, 5)",randInt(4) = 0
1,1,100,"(0, 5)",randInt(4) = 0
2,1,100,"(0, 5)",randInt(4) = 0
0,0,100,"(0, 5)",randInt(4) = 0
0,5,100,"(0, 5)",randInt(4) = 0
3,4,100,"(0, 5)",randInt(4) = 0
2,1,100,"(0, 5)",randInt(4) = 0
3,2,100,"(0, 5)",randInt(4) = 0
7,5,100,"(0, 5)",randInt(4) = 0
3,6,100,"(0, 5)",randInt(4) = 0
1,2,100,"(0, 5)",randInt(4) = 0
1,0,100,"(0, 5)",randInt(4) = 0
1,1,100,"(0, 5)",randInt(4) = 0
1,1,100,"(0, 5)",randInt(4) = 0
2,3,100,"(0, 5)",randInt(4) = 0
0,0,100,"(0, 5)",randInt(4) = 0
3,2,100,"(0, 5)",randInt(4) = 0
0,0,100,"(0, 5)",randInt(4) = 0
3,4,100,"(0, 5)",randInt(4) = 0
3,3,100,"(0, 5)",randInt(4) = 0
2,2,100,"(0, 5)",randInt(4) = 0
2,3,100,"(0, 5)",randInt(4) = 0
2,2,100,"(0, 5)",randInt(4) = 0
3,4,100,"(0, 5)",randInt(4) = 0
1,0,100,"(0, 5)",randInt(4) = 0
2,2,100,"(0, 5)",randInt(4) = 0
1,2,100,"(0, 5)",randInt(4) = 0
1,0,100,"(0, 5)",randInt(4) = 0
0,2,100,"(0, 5)",randInt(4) = 0
3,2,100,"(0, 5)",randInt(4) = 0
0,0,100,"(0, 5)",randInt(4) = 0
3,2,100,"(0, 5)",randInt(4) = 0
1,1,100,"(0, 5)",randInt(4) = 0
4,3,100,"(0, 5)",randInt(4) = 0
1,0,100,"(0, 5)",randInt(4) = 0
0,0,100,"(0, 5)",randInt(4) = 0
0,0,100,"(0, 5)",randInt(4) = 0
0,0,100,"(0, 5)",randInt(4) = 0
0,0,100,"(0, 5)",randInt(4) = 0
1,0,100,"(0, 5)",randInt(4) = 0
2,0,100,"(0, 5)",randInt(4) = 0
0,0,100,"(0, 5)",randInt(4) = 0
0,0,100,"(0, 5)",randInt(4) = 0
0,0,100,"(0, 5)",randInt(4) = 0
1,1,100,"(0, 5)",randInt(4) = 0
0,0,100,"(0, 5)",randInt(4) = 0
0,0,100,"(0, 5)",randInt(4) = 0
0,0,100,"(0, 5)",randInt(4) = 0
0,2,100,"(0, 5)",randInt(4) = 0
0,0,100,"(0, 5)",randInt(4) = 0
0,0,100,"(0, 5)",randInt(4) = 0
1,0,100,"(0, 5)",randInt(4) = 0
0,0,100,"(0, 5)",randInt(4) = 0
0,0,100,"(0, 5)",randInt(4) = 0
0,0,100,"(0, 5)",randInt(4) = 0
